"column","n_total","n_missing","pct_missing"
"hc3_che",4588,4012,87.4455100261552
"hc3_usd2023",4588,4012,87.4455100261552
"hc2_che",4588,3965,86.4210985178727
"hc2_usd2023",4588,3965,86.4210985178727
"hc9_che",4588,3894,84.87358326068
"hc9_usd2023",4588,3894,84.87358326068
"hc4_che",4588,3816,83.1734960767219
"hc4_usd2023",4588,3816,83.1734960767219
"hc5_che",4588,3788,82.56320836966
"hc5_usd2023",4588,3788,82.56320836966
"hc1_che",4588,3787,82.5414123801221
"hc1_usd2023",4588,3787,82.5414123801221
"hc6_che",4588,3787,82.5414123801221
"hc6_usd2023",4588,3787,82.5414123801221
"hc7_che",4588,3787,82.5414123801221
"hc7_usd2023",4588,3787,82.5414123801221
"hf4_che",4588,3326,72.4934612031386
"hf4_usd2023",4588,3326,72.4934612031386
"hfnec_usd2023",4588,2927,63.7968613775065
"hfnec_che",4588,2905,63.3173496076722
"ext_usd2023",4588,585,12.7506538796861
"ext_che",4588,561,12.2275501307759
"gdp_pc_usd",4588,96,2.0924149956408
"che_pc_usd2023",4588,72,1.5693112467306
"hf2_usd2023",4588,66,1.43853530950305
"u5mr",4588,59,1.28596338273758
"pop",4588,48,1.0462074978204
"life_exp",4588,48,1.0462074978204
"hf2_che",4588,42,0.915431560592851
"che_usd2023",4588,24,0.523103748910201
"gghed_usd2023",4588,24,0.523103748910201
"pvtd_usd2023",4588,24,0.523103748910201
"hf1_usd2023",4588,24,0.523103748910201
"hf3_usd2023",4588,24,0.523103748910201
"gghed_che",4588,0,0
"pvtd_che",4588,0,0
"hf1_che",4588,0,0
"hf3_che",4588,0,0
