"year","n_rows","n_cells_missing","pct_missing"
2000,186,3618,51.188455008489
2001,186,3610,51.0752688172043
2002,187,3622,50.9710104137349
2003,189,3632,50.5708716235032
2004,189,3618,50.3759398496241
2005,189,3624,50.4594820384294
2006,189,3624,50.4594820384294
2007,189,3620,50.4037872458925
2008,189,3630,50.5430242272348
2009,189,3630,50.5430242272348
2010,190,3640,50.415512465374
2011,191,3644,50.20666850372
2012,191,3633,50.055111600992
2013,193,3664,49.9590946277611
2014,193,3654,49.8227433869648
2015,193,3651,49.7818380147259
2016,193,2014,27.4611398963731
2017,194,2031,27.5501899077591
2018,195,1895,25.5735492577598
2019,195,1912,25.8029689608637
2020,195,2266,30.5802968960864
2021,195,2401,32.4021592442645
2022,194,2503,33.9527943570266
2023,194,2717,36.8556701030928
