year,n,gini_eq,gini_pop,theil_pop,atk05,atk1,mean_val,median_val
2000,183,0.7148212040720822,0.8110076760737919,1.4293531703752353,0.437551744962116,0.727181771149384,837.9831129301893,218.59401128810512
2001,183,0.7152839585478208,0.8114659270061653,1.4344069630476461,0.4370482140135722,0.7235989839677381,872.1445636495013,217.65319636407457
2002,184,0.7170493643717406,0.8139818047445182,1.4514159905549202,0.4386809616482552,0.7234420945299749,904.6714992340821,233.39318126333578
2003,186,0.7192458248735486,0.8134324736127461,1.453487960773155,0.44076218715380866,0.7238656309121172,934.0756910805464,246.62032293279867
2004,186,0.7180303588315737,0.8127208518176815,1.4516143418375185,0.43822256882673527,0.7180472131970828,961.9963060984119,265.95963995583446
2005,186,0.7147916908684293,0.8109948483592577,1.444733469526247,0.43422302841621185,0.7137742484802012,982.8293190739395,270.27534293557403
2006,186,0.7114625954593157,0.8098600545650703,1.4388164549955416,0.4297891512306521,0.7087428536268006,1002.25209673633,278.6101668480071
2007,186,0.709404542826013,0.8085043518006918,1.4321550993005023,0.4275364489238749,0.7076191940663676,1029.5137586632202,281.8211149890957
2008,186,0.7074177631861738,0.8052442219528686,1.4141374582351085,0.4256318305181104,0.7070102988142044,1062.4994416636562,304.15991520537636
2009,186,0.7054270495335386,0.8001211427950392,1.3893193151498366,0.4223982885973584,0.7019377084743776,1103.498990289762,323.93085293877454
2010,187,0.7057365878400728,0.799778745838711,1.3904605409164763,0.422891541100485,0.7026872315213346,1107.0202275984923,336.993932535509
2011,188,0.7048578011086463,0.7970087119194801,1.376535444221687,0.42196361584915365,0.701041439070363,1113.54505971991,353.3098834539409
2012,188,0.7002421347311929,0.7931136438689934,1.3597093502793092,0.41644718167216555,0.6954396510781597,1125.2064968974103,369.12369226556854
2013,190,0.7047193468670048,0.787764577508685,1.336520761471432,0.42164560546521,0.7008411473050429,1184.3951690190909,381.55135582894974
2014,190,0.7041278629928812,0.7863025662429213,1.33225872882575,0.4205672208225276,0.6989579521426131,1211.7494007613816,374.9802796134305
2015,190,0.7008954517400914,0.7840799042838209,1.3242546266454074,0.4173742329642385,0.6977193978212546,1255.5013972908894,389.73251111520483
2016,190,0.6991337743817436,0.7828877144229933,1.3225585786303609,0.41551064282558536,0.6965715417986813,1286.1380362297602,395.57819369038236
2017,191,0.7005171209053325,0.7834064366588318,1.3219704767631792,0.4174029552671892,0.6989877593476657,1291.562763387026,395.83104305100005
2018,192,0.7003442637029651,0.7827350517573796,1.3193657740463418,0.41725511676007454,0.6991321813112423,1299.5904838668528,398.97058304267864
2019,192,0.6988518703694402,0.7808662635036157,1.3097178292681473,0.4159967817582285,0.6993773800675389,1341.2617022395862,412.5708913938821
2020,192,0.6995398908406119,0.7842557321610532,1.3286807789936148,0.41680837845217655,0.70008483202431,1399.8974542936865,412.81616608160516
2021,192,0.6945183173891006,0.7798753665074087,1.3061457223308532,0.4116610258017329,0.6970799030184367,1450.203618568526,466.0507494921831
2022,191,0.6953429185963744,0.7739794997576933,1.274617294737711,0.41328957532128663,0.6994702178052254,1419.4996748517167,457.055245672487
2023,191,0.6933620251895569,0.7722320163460589,1.2703972998867263,0.4108663700197277,0.6975021684048786,1428.9171061755417,470.4034710109832
