"stats::coef(summary(result))","term"
4.2291587918715,"income_groupHigh income:decade2000"
4.74561075268011,"income_groupLow income:decade2000"
7.30169644227647,"income_groupLower middle income:decade2000"
-1.82268576002847,"income_groupNot classified:decade2000"
6.73900363264673,"income_groupUpper middle income:decade2000"
2.3860989870622,"income_groupHigh income:decade2010"
-0.586746170574259,"income_groupLow income:decade2010"
3.05893989716641,"income_groupLower middle income:decade2010"
1.69943316426545,"income_groupNot classified:decade2010"
3.22964699515472,"income_groupUpper middle income:decade2010"
